session_id,start_time,end_time,duration_min,noise_avg_db,noise_variance,light_lux_avg,light_variance,phone_pickups,user_location,session_completed,self_rated_focus,perceived_difficulty,mood,productivity_score,distractions_detected,ai_estimated_prod_score,notes
1,2025-01-24 12:15:00,2025-01-24 12:45:00,30,25.14,5.2,418.05,12.02,1,outside,1,4,5,2,42,1,43,Too noisy
2,2025-01-12 17:52:00,2025-01-12 18:12:00,20,36.57,5.83,134.34,14.39,0,home,0,3,5,5,28,3,39,Great flow
3,2025-01-14 08:57:00,2025-01-14 09:22:00,25,32.98,8.34,492.28,10.13,1,cafe,0,9,4,4,99,0,71,Mediocre
4,2025-01-19 14:11:00,2025-01-19 14:36:00,25,40.33,8.92,162.91,13.98,0,cafe,1,6,4,4,32,1,38,Mediocre
5,2025-01-14 17:16:00,2025-01-14 17:36:00,20,52.27,9.93,169.32,20.42,0,outside,1,5,2,3,44,1,51,Stable productivity
6,2025-01-14 13:50:00,2025-01-14 14:10:00,20,32.71,1.55,127.82,13.52,0,home,1,7,5,1,69,2,53,Distracted
7,2025-01-19 12:48:00,2025-01-19 13:13:00,25,22.49,3.28,81.71,9.71,2,outside,1,5,4,2,58,2,50,Great flow
8,2025-01-21 17:44:00,2025-01-21 18:14:00,30,37.75,12.67,250.08,14.73,0,cafe,1,6,2,5,70,2,58,Hard to focus
9,2025-01-18 15:46:00,2025-01-18 16:16:00,30,54.95,1.95,17.59,10.97,2,outside,1,10,1,3,100,0,87,Energy peak
10,2025-01-11 18:37:00,2025-01-11 19:07:00,30,44.84,8.14,190.28,2.25,2,library,1,7,5,3,78,2,91,Hard to focus
11,2025-01-21 14:37:00,2025-01-21 15:02:00,25,37.14,3.73,221.51,11.18,0,library,1,7,3,1,64,2,72,Great flow
12,2025-01-20 19:21:00,2025-01-20 19:41:00,20,39.54,6.74,158.69,8.79,2,outside,1,7,1,3,80,3,63,Mediocre
13,2025-01-24 13:58:00,2025-01-24 14:23:00,25,37.3,4.52,368.75,20.92,1,cafe,1,7,1,4,71,3,56,Felt tired
14,2025-01-10 08:08:00,2025-01-10 08:33:00,25,41.47,0.32,342.16,24.66,1,cafe,1,8,5,3,54,2,48,Felt tired
15,2025-01-21 11:35:00,2025-01-21 12:05:00,30,22.37,6.21,154.32,20.01,0,cafe,1,7,5,4,71,6,77,Distracted
16,2025-01-24 15:48:00,2025-01-24 16:18:00,30,58.14,6.38,229.47,21.33,1,library,0,8,2,4,61,4,49,Distracted
17,2025-01-22 16:30:00,2025-01-22 16:50:00,20,40.31,0.6,160.68,12.61,1,home,1,5,2,4,54,0,56,Great flow
18,2025-01-12 17:07:00,2025-01-12 17:27:00,20,33.52,2.37,495.94,23.55,1,cafe,1,4,5,2,54,5,56,Hard to focus
19,2025-01-22 12:08:00,2025-01-22 12:38:00,30,54.98,0.96,446.47,2.19,1,cafe,0,7,4,5,83,0,77,Hard to focus
20,2025-01-17 09:26:00,2025-01-17 09:46:00,20,44.91,7.56,490.09,3.83,0,home,0,8,1,2,74,3,57,Too noisy
21,2025-01-12 19:10:00,2025-01-12 19:30:00,20,49.14,11.45,565.56,6.17,0,library,1,9,1,1,86,2,95,Energy peak
22,2025-01-21 18:40:00,2025-01-21 19:00:00,20,60.38,6.17,132.12,20.61,0,home,1,6,2,1,45,0,46,Good session
23,2025-01-13 10:47:00,2025-01-13 11:17:00,30,30.74,2.07,263.44,25.81,0,cafe,1,8,5,4,86,5,74,Mediocre
24,2025-01-15 13:22:00,2025-01-15 13:52:00,30,57.42,8.04,1.0,7.09,1,home,1,6,5,5,40,1,42,Distracted
25,2025-01-16 09:12:00,2025-01-16 09:42:00,30,45.34,8.23,203.62,12.25,0,home,1,7,4,5,82,1,64,Hard to focus
26,2025-01-22 19:02:00,2025-01-22 19:27:00,25,42.56,6.3,594.36,14.26,0,cafe,1,4,5,1,35,4,40,Energy peak
27,2025-01-23 09:37:00,2025-01-23 10:07:00,30,33.34,6.79,301.93,7.94,1,home,0,3,2,1,41,3,50,Sun was annoying
28,2025-01-11 18:26:00,2025-01-11 18:56:00,30,35.26,5.77,154.8,13.75,2,library,1,4,3,4,48,2,46,Good session
29,2025-01-15 14:25:00,2025-01-15 14:50:00,25,29.92,4.3,333.66,13.65,0,outside,1,9,5,2,83,0,66,Energy peak
30,2025-01-11 14:11:00,2025-01-11 14:36:00,25,50.82,5.74,394.85,7.31,0,outside,1,8,5,2,52,1,45,Distracted
31,2025-01-11 19:33:00,2025-01-11 19:58:00,25,30.76,11.73,211.99,8.39,1,outside,1,9,5,4,100,0,100,Great flow
32,2025-01-23 13:34:00,2025-01-23 13:54:00,20,33.22,2.87,275.66,17.67,0,library,1,5,4,4,64,1,59,Stable productivity
33,2025-01-19 10:23:00,2025-01-19 10:48:00,25,33.74,7.57,219.03,17.98,2,home,1,7,4,2,59,4,59,Hard to focus
34,2025-01-11 19:24:00,2025-01-11 19:49:00,25,34.64,1.62,411.68,25.49,1,outside,1,7,1,3,75,3,68,Hard to focus
35,2025-01-23 11:31:00,2025-01-23 12:01:00,30,38.1,6.39,183.2,25.34,3,outside,1,5,2,3,52,0,41,Hard to focus
36,2025-01-24 09:34:00,2025-01-24 10:04:00,30,44.42,8.61,465.39,26.56,0,home,1,7,3,2,82,4,77,Good session
37,2025-01-16 13:44:00,2025-01-16 14:09:00,25,34.11,6.32,254.26,23.99,1,cafe,1,7,3,5,66,0,61,Distracted
38,2025-01-21 11:40:00,2025-01-21 12:05:00,25,51.43,6.84,37.84,8.66,0,home,0,6,3,3,83,3,88,Sun was annoying
39,2025-01-21 15:54:00,2025-01-21 16:24:00,30,30.51,5.3,255.49,11.54,3,outside,1,5,4,3,61,0,68,Good session
40,2025-01-20 10:36:00,2025-01-20 11:06:00,30,29.34,3.73,274.9,12.23,3,library,0,6,5,5,45,2,39,Sun was annoying
41,2025-01-22 08:08:00,2025-01-22 08:38:00,30,26.42,8.74,325.68,19.22,0,cafe,1,5,5,3,90,1,82,Too noisy
42,2025-01-12 16:10:00,2025-01-12 16:40:00,30,43.29,4.79,206.01,12.62,1,cafe,0,5,3,1,49,3,70,Felt tired
43,2025-01-12 18:20:00,2025-01-12 18:45:00,25,34.3,7.79,323.39,10.86,0,cafe,1,6,4,4,41,5,44,Too noisy
44,2025-01-10 15:47:00,2025-01-10 16:07:00,20,40.74,1.51,184.36,22.32,1,home,1,7,2,1,66,0,62,Sun was annoying
45,2025-01-18 14:18:00,2025-01-18 14:43:00,25,33.34,5.43,421.53,0.81,3,home,1,4,4,5,51,0,44,Great flow
46,2025-01-11 17:08:00,2025-01-11 17:38:00,30,48.09,8.48,365.19,13.41,0,home,1,8,4,1,100,0,90,Great flow
47,2025-01-10 12:43:00,2025-01-10 13:08:00,25,40.67,7.44,457.72,15.21,0,library,1,6,5,1,61,0,62,Energy peak
48,2025-01-22 15:03:00,2025-01-22 15:33:00,30,41.9,8.03,132.78,9.03,0,cafe,1,6,4,4,42,3,35,Good session
49,2025-01-21 13:30:00,2025-01-21 13:55:00,25,33.94,4.85,290.88,20.41,1,cafe,1,7,2,4,60,3,55,Stable productivity
50,2025-01-21 17:31:00,2025-01-21 18:01:00,30,32.55,8.62,235.36,2.84,1,home,1,8,3,3,92,0,94,Mediocre
51,2025-01-22 16:59:00,2025-01-22 17:24:00,25,51.01,7.71,141.42,23.97,0,cafe,1,4,2,3,49,4,31,Too noisy
52,2025-01-20 16:17:00,2025-01-20 16:47:00,30,51.65,9.59,158.1,4.0,1,cafe,1,5,3,4,37,2,53,Hard to focus
53,2025-01-14 11:41:00,2025-01-14 12:01:00,20,33.95,5.13,140.84,21.55,0,cafe,1,9,1,5,100,0,100,Too noisy
54,2025-01-13 15:57:00,2025-01-13 16:17:00,20,35.14,5.26,274.51,17.02,2,home,1,3,4,3,10,4,0,Mediocre
55,2025-01-20 10:15:00,2025-01-20 10:45:00,30,26.67,8.32,84.84,13.2,1,outside,1,5,5,5,23,0,30,Distracted
56,2025-01-20 15:06:00,2025-01-20 15:26:00,20,40.23,3.94,349.44,13.22,1,library,1,7,1,4,89,1,67,Felt tired
57,2025-01-24 10:21:00,2025-01-24 10:51:00,30,27.11,4.73,258.15,23.93,1,cafe,0,10,4,3,100,0,90,Too noisy
58,2025-01-24 12:08:00,2025-01-24 12:28:00,20,30.43,8.4,165.99,8.33,2,outside,0,10,4,4,100,4,94,Too noisy
59,2025-01-23 09:36:00,2025-01-23 09:56:00,20,31.26,7.61,98.01,18.08,0,library,1,7,5,2,61,1,65,Stable productivity
60,2025-01-10 17:21:00,2025-01-10 17:46:00,25,34.57,7.53,400.38,11.46,0,home,0,6,2,4,44,3,55,Felt tired
61,2025-01-16 10:59:00,2025-01-16 11:24:00,25,29.51,4.02,108.6,13.61,1,library,1,7,1,2,74,2,70,Felt tired
62,2025-01-21 17:59:00,2025-01-21 18:24:00,25,31.26,10.86,46.51,16.64,3,library,0,3,3,2,58,0,63,Good session
63,2025-01-15 18:49:00,2025-01-15 19:19:00,30,41.17,3.9,308.71,30.16,3,home,1,7,4,1,52,1,35,Hard to focus
64,2025-01-10 17:15:00,2025-01-10 17:45:00,30,53.7,5.55,131.52,25.96,1,cafe,1,7,1,1,60,2,51,Sun was annoying
65,2025-01-21 17:33:00,2025-01-21 18:03:00,30,17.75,8.32,304.31,3.23,0,outside,0,8,2,2,77,0,70,Energy peak
66,2025-01-13 13:52:00,2025-01-13 14:17:00,25,38.03,9.91,262.5,18.87,1,library,1,6,3,5,65,1,41,Too noisy
67,2025-01-23 16:42:00,2025-01-23 17:07:00,25,52.35,8.83,181.3,23.06,0,library,1,5,3,3,16,4,20,Mediocre
68,2025-01-22 09:56:00,2025-01-22 10:26:00,30,48.0,4.02,87.7,18.61,1,home,0,6,3,5,33,0,29,Stable productivity
69,2025-01-16 15:51:00,2025-01-16 16:16:00,25,54.23,8.57,498.34,5.74,1,home,1,6,4,4,73,4,80,Mediocre
70,2025-01-17 19:17:00,2025-01-17 19:42:00,25,52.7,7.07,360.51,9.56,0,home,1,5,3,5,72,1,81,Hard to focus
71,2025-01-22 11:10:00,2025-01-22 11:30:00,20,27.27,5.34,188.34,7.72,0,home,1,2,4,3,0,1,5,Sun was annoying
72,2025-01-16 08:24:00,2025-01-16 08:44:00,20,41.72,5.42,349.34,23.42,2,outside,1,9,5,4,70,2,82,Hard to focus
73,2025-01-12 12:50:00,2025-01-12 13:15:00,25,40.71,4.0,201.45,20.36,4,cafe,1,7,1,3,74,1,74,Great flow
74,2025-01-13 10:14:00,2025-01-13 10:44:00,30,33.68,3.09,445.3,13.02,1,home,1,9,1,4,98,2,100,Too noisy
75,2025-01-12 16:17:00,2025-01-12 16:47:00,30,36.6,7.78,195.24,9.65,0,outside,1,5,3,2,29,2,20,Stable productivity
76,2025-01-15 14:28:00,2025-01-15 14:48:00,20,32.56,0.01,180.49,11.79,1,library,1,10,4,3,100,2,100,Stable productivity
77,2025-01-17 16:05:00,2025-01-17 16:35:00,30,46.05,0.7,198.81,25.89,2,cafe,0,5,1,5,57,2,53,Stable productivity
78,2025-01-21 16:09:00,2025-01-21 16:39:00,30,31.82,6.53,118.36,13.75,0,outside,1,6,5,3,79,0,79,Great flow
79,2025-01-17 19:14:00,2025-01-17 19:44:00,30,37.82,7.39,387.91,5.16,1,library,0,8,3,5,77,3,75,Great flow
80,2025-01-17 16:46:00,2025-01-17 17:11:00,25,29.39,4.28,491.83,16.44,1,library,1,4,3,2,40,0,40,Too noisy
81,2025-01-23 10:44:00,2025-01-23 11:09:00,25,41.28,7.44,348.63,17.06,0,outside,0,8,5,4,86,3,75,Distracted
82,2025-01-11 09:04:00,2025-01-11 09:29:00,25,32.45,8.1,332.79,15.07,2,cafe,0,8,4,4,99,3,100,Felt tired
83,2025-01-16 15:30:00,2025-01-16 15:50:00,20,34.91,11.7,104.81,18.81,0,library,1,3,1,3,31,1,40,Good session
84,2025-01-24 10:32:00,2025-01-24 10:52:00,20,40.69,4.55,308.23,14.64,0,library,1,5,5,4,17,4,15,Distracted
85,2025-01-11 19:41:00,2025-01-11 20:01:00,20,55.74,7.68,397.57,11.49,1,home,1,7,3,5,67,4,54,Great flow
86,2025-01-16 09:29:00,2025-01-16 09:54:00,25,36.22,2.0,461.32,17.08,2,outside,1,5,2,5,16,0,16,Mediocre
87,2025-01-13 09:38:00,2025-01-13 09:58:00,20,34.39,3.65,156.71,13.34,0,cafe,1,10,1,3,100,4,91,Sun was annoying
88,2025-01-21 18:36:00,2025-01-21 19:01:00,25,52.87,8.35,312.35,1.59,0,home,1,6,5,5,55,0,57,Energy peak
